MatchId;home_player_holder;away_player_holder;home_player_substitute;away_player_substitute
70850;yahia-fofana;matz-sels;paul-bernardoni;eiji-kawashima
70850;souleyman-doumbia;colin-dagba;abdoulaye-bamba;karol-janusz-fila
70850;miha-blazic;thomas-delaine;ilyes-cheti;ronael-pierre-gabriel
70850;cedric-hountondji;lucas-perrin;himad-abdelli;ismael-doukoure
70850;yan-valery;maxime-le-marchand;amine-salama;jean-eudes-pascal-armand-aholou
70850;batista-mendy;alexander-djiku;pierrick-capelle;adrien-thomasson
70850;nabil-bentaleb;sanjin-prcic;ibrahim-amadou;dimitri-lienard
70850;azz-eddine-ounahi;jeanricner-bellegarde;farid-el-melali;mouhamadou-diarra
70850;sofiane-boufal;ibrahima-sissoko;sada-thioub;dany-jean
70850;abdallah-dipo-sima;kevin-gameiro;;
70850;adrien-hunou;mouhamadou-habibou-diallo;;
70851;marco-bizot;yvon-landry-mvogo-nganoma;joaquin-blazquez;vito-mannone
70851;achraf-dari;montassar-talbi;jean-kevin-duverne;igor-silva-de-almeida
70851;brendan-chardonnet;julien-laporte;lilian-brassier;chrislain-matsima
70851;jere-uronen;vincent-le-goff;christophe-herelle;darlin-zidane-yongwa-ngameni
70851;noah-fadiga;laurent-abergel;hugo-magnetti;bamo-abdoul-meite
70851;haris-belkebla;stephane-diarra;karamoko-kader-dembele;bonke-innocent
70851;franck-honorat;enzo-le-fee;mathias-pereira-lage;quentin-boisgard
70851;mahdi-camara;julien-ponceau;axel-camblan;ibrahima-kone
70851;romain-del-castillo;theo-le-bris;tairyk-arconte;ckene-doucoure
70851;islam-slimani;terem-igobor-moffi;;
70851;jeremy-le-douaron;yoann-cathline;;
70852;mory-diaw;benoit-costil;ouparine-djoco;donovan-leon
70852;vivaldo-borges-dos-santos-neto;quentin-bernard;florent-ogier;kenji-van-boto
70852;mateusz-wieteska;jubal-rocha-mendes-junior;baila-diallo;paul-joly
70852;maximiliano-caufriez;alexandre-coeff;jim-allevinah;youssouf-mchangama
70852;alidu-seidu;denys-bain;jodel-dossou;kays-ruiz
70852;yohann-magnin;gauthier-hein;brandon-baiye;rayan-raveloson
70852;saif-eddine-khaoui;birama-toure;muhammed-cham-saracevic;gaetan-perrin
70852;maxime-gonalons;hamza-sakhi;yanis-massolin;lassine-sinayoko
70852;elbasan-rashani;mathias-autret;andric-komnen;remy-dugimont
70852;johan-gastien;nuno-da-costa-joia;;
70852;grejonh-kyei;mbaye-niang;;
70853;lucas-chevalier;brice-samba;leonardo-cesar-jardim;jean-louis-leca
70853;tiago-emanuel-embalo-djalo;deiver-machado-mena;akim-zedadka;ismael-ben-boura
70853;jose-miguel-da-rocha-fonte;kevin-danso;leny-yoro;adrien-louveau
70853;bafode-diakite;facundo-axel-medina;jonas-martin;jean-emile-junior-onana-onana
70853;ismaily-goncalves-santos;jimmy-cabot;remy-cabella;lukasz-poreba
70853;jonathan-bamba;massadio-haidara;edon-zhegrova;alexis-claude-maurice
70853;adam-ounas;seko-fofana;carlos-noom-quomah-baleba;przemyslaw-adam-frankowski
70853;benjamin-andre;david-pereira-da-costa;timothy-weah;adam-buksa
70853;andre-filipe-tavares-gomes;salis-abdul-samed;mohamed-bayo;wesley-said
70853;jonathan-christian-david;florian-sotoca;;
70853;adilson-angel-abreu-de-almeida-gomes;ikoma-lois-openda;;
70854;anthony-lopes;maxime-dupe;remy-riou;christian-kjetil-haug
70854;nicolas-tagliafico;rasmus-schmidt-nicolaisen;sinaly-diomande;logan-costa
70854;junior-castello-lukeba;anthony-rouault;henrique-silva-milagres;carl-oliver-zanden
70854;thiago-henrique-santos-mendes;issiaga-sylla;jerome-boateng;moussa-diarra
70854;malo-gusto;kevin-keben-biakolo;damien-da-silva;denis-genreau
70854;johann-lepenant;branco-van-den-boomen;maxence-caqueret;theocharis-tsingaras
70854;corentin-tolisso;brecht-emiel-dejaegere;houssem-aouar;ado-onaiwu
70854;karl-toko-ekambi;stijn-spierings;jeff-reine-adelaide;veljko-birmancevic
70854;moussa-dembele;fares-chaibi;mathis-cherki;rafael-rogerio-da-silva
70854;alexandre-lacazette;zakaria-aboukhlal;;
70854;mateus-cardoso-lemos-martins;thijs-jacco-jan-dallinga;;
70855;ruben-santiago-blanco-veiga;benjamin-leroy;simon-brady-ngapandouentnbu;francois-joseph-sollacaro
70855;samuel-gigot;mohamed-youssouf;pau-lopez-sabata;mickael-alphonse
70855;leonardo-julian-balerdi-rosa;cedric-avinel;eric-bertrand-bailly;ismael-jean-chester-diallo
70855;issa-kabore;oumar-gonzalez;souleymane-isaak-toure;clement-vidal
70855;nuno-albertino-varela-tavares;youssouf-kone;jordan-veretout;yanis-cimignani
70855;chancel-mbemba-mangulu;mathieu-coutadeur;amine-harit;thomas-mangani
70855;gerson-santos-da-silva;vincent-marchetti;luis-javier-suarez-charris;kevin-spadanuda
70855;dimitri-payet;riad-nouri;cheikh-ahmadou-bamba-mbacke-dieng;florian-chabrolle
70855;valentin-rongier;mounaim-el-idrissy;cengiz-under;kouame-jean-fiacre-botue
70855;pape-alassane-gueye;bevic-selad-moussiti-oko;;
70855;alexis-alejandro-sanchez-sanchez;cyrille-barros-bayala;;
70856;jonas-omlin;alexander-nubel;bingourou-kamara;thomas-didillon
70856;christopher-jullien;vanderson-de-oliveira-campos;arnaud-souquet;guillermo-maripan-loayza
70856;maxime-esteve;benoit-badiashile-mukinayi;christ-emmanuel-faitout-maouassa;malang-sarr
70856;enzo-tchato-mbiayi;axel-wilson-arthur-disasi-mhakinis-belho;falaye-sacko;jean-lucas-de-souza-oliveira
70856;nicolas-louis-marcel-cozza;caio-henrique-oliveira-silva;leo-leroy;ismail-jakobs
70856;teji-savanier;mohamed-camara-2;sacha-delaye;eliot-matazo
70856;jordan-ferri;aleksandr-golovin;khalil-fayad;myron-boadu
70856;joris-chotard;youssouf-fofana-1;wahbi-khazri;takumi-minamino
70856;arnaud-nordin;maghnes-akliouche;valere-germain;krepin-diatta
70856;stephy-alvaro-mavididi;wissam-ben-yedder;;
70856;sepe-elye-wahi;breel-embolo;;
70857;kasper-schmeichel;gauthier-gallon;marcin-bulka;mateusz-lis
70857;dante-costa-santos;erik-ross-palmer-brown;jordan-lotomba;jackson-gabriel-porozo-vernaza
70857;joseph-bryan;yoann-salmier;melvin-bard;abdu-cadri-conte
70857;youcef-atal;andreas-bruus;cristian-pablo-paulino-rosario;thierno-balde
70857;jean-clair-todibo;adil-rami;ross-barkley;yasser-larouci
70857;mattia-viti;nguessan-rominigue-kouame;alexis-beka-beka;tristan-dingome
70857;khephren-thuram-ulien;florian-tardieu;hicham-boudaoui;xavier-chavalerin
70857;mario-lemina;papa-ndiaga-yade;billal-brahimi;ike-dominique-ugbo
70857;andy-delort;wilson-odobert;gaetan-laborde;marcos-mesquita-lopes
70857;sofiane-diop;mama-samba-balde;;
70857;nicolas-pepe;renaud-ripart;;
70858;yehvann-diouf;gianluigi-donnarumma;patrick-pentz;keilor-antonio-navas-gamboa
70858;yunis-abdelhamid;sergio-ramos;kamory-doumbia;sergio-rico-gonzalez
70858;andreaw-gravillon;marcos-aoas-correa;thibault-de-smet;achraf-hakimi
70858;emmanuel-agbadou;juan-bernat-velasco;nathanael-mbuku;el-chadaille-bitshiabu
70858;banzouzi-locko;nordi-mukiele;martin-adeline;vitor-machado-ferreira
