PlayerId;Player_Name;Player_Position;Player_Nationality;Player_BirthdayDate
florian-chabrolle;Florian CHABROLLE;Milieu;FRA;07/04/1998
mohamed-toure;Mohamed TOURE;Attaquant;AUS;26/04/2004
seko-fofana;Seko FOFANA;Milieu;FRA;07/05/1995
sergio-rico-gonzalez;Sergio RICO;Gardien;ESP;01/09/1993
leonardo-cesar-jardim;Léo JARDIM;Gardien;ITA;20/03/1995
bingourou-kamara;Bingourou KAMARA;Gardien;FRA;21/10/1996
philana-tinotenda-kadewere;Tino KADEWERE;Attaquant;ZIM;05/01/1996
kouame-jean-fiacre-botue;Jean BOTUE;Attaquant;BUF;07/01/2002
joe-loic-affamah;Joe-Loïc AFFAMAH;Attaquant;FRA;29/06/2002
veljko-birmancevic;Veljko BIRMANCEVIC;Attaquant;SER;05/03/1998
abdoul-kader-bamba;Abdoul-Kader BAMBA;Attaquant;FRA;25/04/1994
matis-carvalho;Matis CARVALHO;Gardien;FRA;28/04/1999
cyrille-barros-bayala;Cyrille BAYALA;Attaquant;BUF;24/05/1996
salim-akkal;Salim AKKAL;;FRA;17/02/2000
maxime-dupe;Maxime DUPE;Gardien;FRA;04/03/1993
el-bilal-toure;El Bilal TOURE;Attaquant;MAI;03/10/2001
eliot-matazo;Eliot MATAZO;Milieu;BEL;15/02/2002
islam-slimani;Islam SLIMANI;Attaquant;ALG;18/06/1988
warmed-omari;Warmed OMARI;Défenseur;FRA;23/04/2000
mateo-loubatieres;Matéo LOUBATIERES;Milieu;FRA;15/09/2003
stephy-alvaro-mavididi;Stephy MAVIDIDI;Attaquant;ANG;31/05/1998
brayann-pereira;Brayann PEREIRA;Défenseur;FRA;21/05/2003
montassar-talbi;Montassar TALBI;Défenseur;FRA;06/05/1998
evann-guessand;Evann GUESSAND;Attaquant;FRA;01/07/2001
lukasz-poreba;Lukasz POREBA;Milieu;POL;13/03/2000
vincent-olivier-sierro;Vincent SIERRO;Milieu;SUI;08/10/1995
branco-van-den-boomen;Branco VAN DEN BOOMEN;Milieu;HOL;21/07/1995
jerome-boateng;Jerome BOATENG;Défenseur;ALL;03/09/1988
baptiste-santamaria;Baptiste SANTAMARIA;Milieu;FRA;09/03/1995
jean-lucas-de-souza-oliveira;Jean LUCAS;Milieu;BRE;22/06/1998
gaetan-perrin;Gaetan PERRIN;Milieu;FRA;07/06/1996
